ClbQ_vina_results,,,,ClbP_vina_results,,
Compound,352.pdbqt_log.txt:,-7.171,,Compound,359.pdbqt_log.log.txt:,-6.982
Compound,380.pdbqt_log.txt:,-7.17,,Acetylvalerenolic,acid.pdbqt_log.log.txt:,-6.978
Compound,321.pdbqt_log.txt:,-7.168,,Compound,58.pdbqt_log.log.txt:,-6.977
Compound,31.pdbqt_log.txt:,-7.16,,Compound,526.pdbqt_log.log.txt:,-6.976
Compound,54.pdbqt_log.txt:,-7.152,,Compound,506.pdbqt_log.log.txt:,-6.971
Compound,269.pdbqt_log.txt:,-7.137,,Compound,126.pdbqt_log.log.txt:,-6.97
Compound,103.pdbqt_log.txt:,-7.12,,Compound,368.pdbqt_log.log.txt:,-6.959
Dechlorogriseofulvin.pdbqt_log.txt:,,-7.109,,Compound,187.pdbqt_log.log.txt:,-6.954
Compound,489.pdbqt_log.txt:,-7.106,,Compound,312.pdbqt_log.log.txt:,-6.946
Compound,38.pdbqt_log.txt:,-7.097,,Compound,445.pdbqt_log.log.txt:,-6.942
Compound,453.pdbqt_log.txt:,-7.094,,Compound,527.pdbqt_log.log.txt:,-6.941
Compound,333.pdbqt_log.txt:,-7.08,,Arctigenin.pdbqt_log.log.txt:,,-6.937
Compound,329.pdbqt_log.txt:,-7.079,,Compound,105.pdbqt_log.log.txt:,-6.931
Compound,390.pdbqt_log.txt:,-7.064,,Compound,207.pdbqt_log.log.txt:,-6.927
Compound,538.pdbqt_log.txt:,-7.064,,Compound,300.pdbqt_log.log.txt:,-6.927
Compound,176.pdbqt_log.txt:,-7.054,,Compound,356.pdbqt_log.log.txt:,-6.918
Compound,215.pdbqt_log.txt:,-7.053,,Compound,90.pdbqt_log.log.txt:,-6.908
Compound,127.pdbqt_log.txt:,-7.033,,Compound,55.pdbqt_log.log.txt:,-6.898
Compound,202.pdbqt_log.txt:,-7.03,,Compound,125.pdbqt_log.log.txt:,-6.893
Compound,510.pdbqt_log.txt:,-7.023,,Compound,124.pdbqt_log.log.txt:,-6.871
Compound,117.pdbqt_log.txt:,-7.019,,Compound,540.pdbqt_log.log.txt:,-6.868
Compound,471.pdbqt_log.txt:,-7.018,,Compound,25.pdbqt_log.log.txt:,-6.866
Compound,90.pdbqt_log.txt:,-7.017,,Compound,236.pdbqt_log.log.txt:,-6.865
Compound,206.pdbqt_log.txt:,-7.014,,Compound,537.pdbqt_log.log.txt:,-6.861
Compound,141.pdbqt_log.txt:,-7.011,,Compound,515.pdbqt_log.log.txt:,-6.859
Compound,312.pdbqt_log.txt:,-7.011,,Compound,321.pdbqt_log.log.txt:,-6.85
Compound,490.pdbqt_log.txt:,-7.01,,Compound,402.pdbqt_log.log.txt:,-6.845
Compound,313.pdbqt_log.txt:,-7.006,,Compound,164.pdbqt_log.log.txt:,-6.844
Compound,293.pdbqt_log.txt:,-7.004,,Matrine.pdbqt_log.log.txt:,,-6.843
Compound,212.pdbqt_log.txt:,-7.002,,Compound,474.pdbqt_log.log.txt:,-6.841
Compound,372.pdbqt_log.txt:,-6.985,,Compound,399.pdbqt_log.log.txt:,-6.841
Compound,402.pdbqt_log.txt:,-6.982,,Compound,418.pdbqt_log.log.txt:,-6.839
Compound,55.pdbqt_log.txt:,-6.976,,Compound,107.pdbqt_log.log.txt:,-6.834
Compound,546.pdbqt_log.txt:,-6.972,,Compound,475.pdbqt_log.log.txt:,-6.83
Compound,544.pdbqt_log.txt:,-6.97,,Compound,202.pdbqt_log.log.txt:,-6.822
Compound,44.pdbqt_log.txt:,-6.968,,Compound,261.pdbqt_log.log.txt:,-6.817
Compound,270.pdbqt_log.txt:,-6.961,,Compound,433.pdbqt_log.log.txt:,-6.814
Compound,245.pdbqt_log.txt:,-6.953,,Compound,274.pdbqt_log.log.txt:,-6.813
Compound,107.pdbqt_log.txt:,-6.948,,Compound,192.pdbqt_log.log.txt:,-6.813
Compound,515.pdbqt_log.txt:,-6.938,,Compound,510.pdbqt_log.log.txt:,-6.811
Compound,516.pdbqt_log.txt:,-6.936,,Compound,464.pdbqt_log.log.txt:,-6.811
Compound,527.pdbqt_log.txt:,-6.934,,Compound,477.pdbqt_log.log.txt:,-6.807
Compound,441.pdbqt_log.txt:,-6.929,,Compound,199.pdbqt_log.log.txt:,-6.803
Compound,522.pdbqt_log.txt:,-6.928,,N-Acetyltyramine.pdbqt_log.log.txt:,,-6.797
Compound,123.pdbqt_log.txt:,-6.926,,Compound,514.pdbqt_log.log.txt:,-6.794
Compound,346.pdbqt_log.txt:,-6.923,,Compound,76.pdbqt_log.log.txt:,-6.794
Compound,71.pdbqt_log.txt:,-6.921,,Compound,87.pdbqt_log.log.txt:,-6.792
Compound,349.pdbqt_log.txt:,-6.911,,Compound,313.pdbqt_log.log.txt:,-6.791
Compound,261.pdbqt_log.txt:,-6.909,,Compound,413.pdbqt_log.log.txt:,-6.789
Compound,153.pdbqt_log.txt:,-6.904,,Compound,546.pdbqt_log.log.txt:,-6.764
Compound,214.pdbqt_log.txt:,-6.896,,Compound,423.pdbqt_log.log.txt:,-6.76
Compound,399.pdbqt_log.txt:,-6.889,,Compound,237.pdbqt_log.log.txt:,-6.759
Compound,274.pdbqt_log.txt:,-6.871,,Compound,127.pdbqt_log.log.txt:,-6.758
Compound,411.pdbqt_log.txt:,-6.869,,Compound,304.pdbqt_log.log.txt:,-6.758
Compound,148.pdbqt_log.txt:,-6.863,,Compound,247.pdbqt_log.log.txt:,-6.758
Compound,356.pdbqt_log.txt:,-6.853,,Compound,255.pdbqt_log.log.txt:,-6.753
Compound,166.pdbqt_log.txt:,-6.839,,Compound,140.pdbqt_log.log.txt:,-6.752
Compound,537.pdbqt_log.txt:,-6.831,,Compound,230.pdbqt_log.log.txt:,-6.751
Compound,192.pdbqt_log.txt:,-6.829,,Compound,530.pdbqt_log.log.txt:,-6.739
Compound,267.pdbqt_log.txt:,-6.827,,Compound,225.pdbqt_log.log.txt:,-6.733
Compound,405.pdbqt_log.txt:,-6.826,,Compound,342.pdbqt_log.log.txt:,-6.729
Compound,76.pdbqt_log.txt:,-6.826,,Compound,405.pdbqt_log.log.txt:,-6.723
Compound,440.pdbqt_log.txt:,-6.825,,Compound,68.pdbqt_log.log.txt:,-6.721
Compound,56.pdbqt_log.txt:,-6.823,,Compound,544.pdbqt_log.log.txt:,-6.717
Compound,159.pdbqt_log.txt:,-6.82,,Compound,243.pdbqt_log.log.txt:,-6.714
Compound,20.pdbqt_log.txt:,-6.817,,Compound,161.pdbqt_log.log.txt:,-6.71
Compound,105.pdbqt_log.txt:,-6.817,,Compound,324.pdbqt_log.log.txt:,-6.704
Compound,549.pdbqt_log.txt:,-6.816,,Compound,128.pdbqt_log.log.txt:,-6.699
Compound,512.pdbqt_log.txt:,-6.815,,Compound,156.pdbqt_log.log.txt:,-6.698
Compound,523.pdbqt_log.txt:,-6.814,,Compound,246.pdbqt_log.log.txt:,-6.694
Compound,164.pdbqt_log.txt:,-6.8,,Compound,212.pdbqt_log.log.txt:,-6.68
Compound,100.pdbqt_log.txt:,-6.792,,Compound,460.pdbqt_log.log.txt:,-6.674
Compound,279.pdbqt_log.txt:,-6.783,,Compound,11.pdbqt_log.log.txt:,-6.672
Compound,459.pdbqt_log.txt:,-6.777,,Dechlorogriseofulvin.pdbqt_log.log.txt:,,-6.657
Compound,80.pdbqt_log.txt:,-6.754,,Compound,549.pdbqt_log.log.txt:,-6.656
Compound,29.pdbqt_log.txt:,-6.75,,Compound,333.pdbqt_log.log.txt:,-6.656
Compound,404.pdbqt_log.txt:,-6.734,,Compound,297.pdbqt_log.log.txt:,-6.651
Compound,473.pdbqt_log.txt:,-6.723,,Compound,265.pdbqt_log.log.txt:,-6.649
Compound,230.pdbqt_log.txt:,-6.697,,Compound,271.pdbqt_log.log.txt:,-6.646
Compound,423.pdbqt_log.txt:,-6.688,,Compound,493.pdbqt_log.log.txt:,-6.644
Compound,304.pdbqt_log.txt:,-6.685,,Compound,307.pdbqt_log.log.txt:,-6.644
Compound,125.pdbqt_log.txt:,-6.671,,Compound,12.pdbqt_log.log.txt:,-6.643
Compound,535.pdbqt_log.txt:,-6.669,,Compound,484.pdbqt_log.log.txt:,-6.64
Compound,442.pdbqt_log.txt:,-6.66,,Compound,269.pdbqt_log.log.txt:,-6.635
Compound,299.pdbqt_log.txt:,-6.653,,Compound,438.pdbqt_log.log.txt:,-6.63
Compound,110.pdbqt_log.txt:,-6.65,,Compound,320.pdbqt_log.log.txt:,-6.63
Compound,389.pdbqt_log.txt:,-6.649,,Compound,74.pdbqt_log.log.txt:,-6.623
Compound,457.pdbqt_log.txt:,-6.643,,Compound,522.pdbqt_log.log.txt:,-6.62
Compound,97.pdbqt_log.txt:,-6.625,,Compound,400.pdbqt_log.log.txt:,-6.614
Compound,14.pdbqt_log.txt:,-6.622,,Compound,362.pdbqt_log.log.txt:,-6.611
Compound,427.pdbqt_log.txt:,-6.619,,Compound,31.pdbqt_log.log.txt:,-6.606
Compound,196.pdbqt_log.txt:,-6.618,,Compound,318.pdbqt_log.log.txt:,-6.604
Compound,466.pdbqt_log.txt:,-6.614,,Compound,201.pdbqt_log.log.txt:,-6.596
Compound,40.pdbqt_log.txt:,-6.609,,Compound,340.pdbqt_log.log.txt:,-6.588
Compound,13.pdbqt_log.txt:,-6.604,,Compound,479.pdbqt_log.log.txt:,-6.583
Compound,140.pdbqt_log.txt:,-6.587,,Compound,315.pdbqt_log.log.txt:,-6.582
Compound,74.pdbqt_log.txt:,-6.571,,Compound,94.pdbqt_log.log.txt:,-6.577
Compound,526.pdbqt_log.txt:,-6.57,,Compound,543.pdbqt_log.log.txt:,-6.545
Compound,7.pdbqt_log.txt:,-6.564,,Compound,221.pdbqt_log.log.txt:,-6.542
Compound,354.pdbqt_log.txt:,-6.564,,Compound,97.pdbqt_log.log.txt:,-6.539
Compound,460.pdbqt_log.txt:,-6.561,,Compound,481.pdbqt_log.log.txt:,-6.537
Compound,361.pdbqt_log.txt:,-6.558,,Compound,411.pdbqt_log.log.txt:,-6.532
Compound,419.pdbqt_log.txt:,-6.536,,Compound,523.pdbqt_log.log.txt:,-6.511
Compound,50.pdbqt_log.txt:,-6.535,,Compound,159.pdbqt_log.log.txt:,-6.506
Compound,114.pdbqt_log.txt:,-6.532,,Compound,285.pdbqt_log.log.txt:,-6.497
Compound,368.pdbqt_log.txt:,-6.53,,Compound,72.pdbqt_log.log.txt:,-6.495
Compound,509.pdbqt_log.txt:,-6.512,,Compound,374.pdbqt_log.log.txt:,-6.486
Compound,229.pdbqt_log.txt:,-6.51,,Compound,176.pdbqt_log.log.txt:,-6.486
Compound,57.pdbqt_log.txt:,-6.509,,Compound,467.pdbqt_log.log.txt:,-6.482
Compound,315.pdbqt_log.txt:,-6.505,,Compound,113.pdbqt_log.log.txt:,-6.479
Compound,246.pdbqt_log.txt:,-6.489,,Compound,294.pdbqt_log.log.txt:,-6.477
Compound,439.pdbqt_log.txt:,-6.487,,Compound,376.pdbqt_log.log.txt:,-6.454
Compound,438.pdbqt_log.txt:,-6.484,,Compound,114.pdbqt_log.log.txt:,-6.446
Compound,543.pdbqt_log.txt:,-6.483,,Compound,205.pdbqt_log.log.txt:,-6.442
Compound,362.pdbqt_log.txt:,-6.468,,Compound,153.pdbqt_log.log.txt:,-6.429
Compound,239.pdbqt_log.txt:,-6.456,,Compound,249.pdbqt_log.log.txt:,-6.424
Compound,11.pdbqt_log.txt:,-6.442,,Compound,339.pdbqt_log.log.txt:,-6.423
Compound,205.pdbqt_log.txt:,-6.44,,Compound,404.pdbqt_log.log.txt:,-6.419
Compound,128.pdbqt_log.txt:,-6.434,,Compound,120.pdbqt_log.log.txt:,-6.415
Compound,235.pdbqt_log.txt:,-6.433,,Compound,183.pdbqt_log.log.txt:,-6.413
Compound,297.pdbqt_log.txt:,-6.38,,Compound,235.pdbqt_log.log.txt:,-6.408
Compound,201.pdbqt_log.txt:,-6.378,,Compound,389.pdbqt_log.log.txt:,-6.392
Compound,113.pdbqt_log.txt:,-6.376,,Compound,259.pdbqt_log.log.txt:,-6.376
Compound,167.pdbqt_log.txt:,-6.368,,Compound,165.pdbqt_log.log.txt:,-6.355
Compound,318.pdbqt_log.txt:,-6.365,,Compound,83.pdbqt_log.log.txt:,-6.346
Compound,479.pdbqt_log.txt:,-6.355,,Compound,427.pdbqt_log.log.txt:,-6.339
N-Acetyltyramine.pdbqt_log.txt:,,-6.354,,Compound,82.pdbqt_log.log.txt:,-6.339
Compound,481.pdbqt_log.txt:,-6.341,,Compound,50.pdbqt_log.log.txt:,-6.335
Compound,87.pdbqt_log.txt:,-6.295,,Compound,452.pdbqt_log.log.txt:,-6.329
Compound,12.pdbqt_log.txt:,-6.274,,Compound,267.pdbqt_log.log.txt:,-6.32
Compound,285.pdbqt_log.txt:,-6.266,,Compound,541.pdbqt_log.log.txt:,-6.304
Compound,452.pdbqt_log.txt:,-6.255,,Compound,349.pdbqt_log.log.txt:,-6.304
Compound,259.pdbqt_log.txt:,-6.224,,Compound,535.pdbqt_log.log.txt:,-6.298
Compound,256.pdbqt_log.txt:,-6.198,,Compound,56.pdbqt_log.log.txt:,-6.264
Compound,83.pdbqt_log.txt:,-6.189,,Compound,473.pdbqt_log.log.txt:,-6.244
Compound,242.pdbqt_log.txt:,-6.173,,Compound,279.pdbqt_log.log.txt:,-6.244
Compound,94.pdbqt_log.txt:,-6.167,,Compound,512.pdbqt_log.log.txt:,-6.207
Compound,474.pdbqt_log.txt:,-6.136,,Compound,7.pdbqt_log.log.txt:,-6.206
Compound,373.pdbqt_log.txt:,-6.085,,Compound,422.pdbqt_log.log.txt:,-6.202
Compound,72.pdbqt_log.txt:,-6.083,,Compound,196.pdbqt_log.log.txt:,-6.188
Compound,398.pdbqt_log.txt:,-6.079,,Compound,29.pdbqt_log.log.txt:,-6.13
Compound,120.pdbqt_log.txt:,-6.076,,Compound,197.pdbqt_log.log.txt:,-6.121
Compound,541.pdbqt_log.txt:,-6.068,,Compound,440.pdbqt_log.log.txt:,-6.12
Compound,9.pdbqt_log.txt:,-6.053,,Compound,317.pdbqt_log.log.txt:,-6.117
Compound,342.pdbqt_log.txt:,-6.047,,Compound,110.pdbqt_log.log.txt:,-6.108
Compound,231.pdbqt_log.txt:,-6.047,,Compound,256.pdbqt_log.log.txt:,-6.081
Compound,374.pdbqt_log.txt:,-6.029,,Compound,242.pdbqt_log.log.txt:,-6.08
Compound,66.pdbqt_log.txt:,-6.025,,Compound,373.pdbqt_log.log.txt:,-6.064
Compound,472.pdbqt_log.txt:,-5.966,,Compound,528.pdbqt_log.log.txt:,-6.057
Compound,161.pdbqt_log.txt:,-5.961,,Compound,9.pdbqt_log.log.txt:,-6.015
Compound,309.pdbqt_log.txt:,-5.9,,Compound,309.pdbqt_log.log.txt:,-5.95
Compound,539.pdbqt_log.txt:,-5.87,,Compound,13.pdbqt_log.log.txt:,-5.939
Compound,422.pdbqt_log.txt:,-5.851,,Compound,66.pdbqt_log.log.txt:,-5.937
Compound,480.pdbqt_log.txt:,-5.815,,Compound,419.pdbqt_log.log.txt:,-5.922
Compound,345.pdbqt_log.txt:,-5.793,,Compound,277.pdbqt_log.log.txt:,-5.917
Compound,248.pdbqt_log.txt:,-5.767,,Compound,231.pdbqt_log.log.txt:,-5.888
Compound,220.pdbqt_log.txt:,-5.677,,Compound,118.pdbqt_log.log.txt:,-5.883
Compound,413.pdbqt_log.txt:,-5.588,,Compound,248.pdbqt_log.log.txt:,-5.761
Compound,174.pdbqt_log.txt:,-5.528,,Compound,441.pdbqt_log.log.txt:,-5.758
Compound,47.pdbqt_log.txt:,-5.459,,Compound,63.pdbqt_log.log.txt:,-5.715
Compound,160.pdbqt_log.txt:,-5.452,,Compound,47.pdbqt_log.log.txt:,-5.503
Compound,294.pdbqt_log.txt:,-5.417,,Compound,344.pdbqt_log.log.txt:,-5.438
Compound,344.pdbqt_log.txt:,-5.408,,Compound,472.pdbqt_log.log.txt:,-5.426
Compound,63.pdbqt_log.txt:,-5.342,,Compound,167.pdbqt_log.log.txt:,-5.416
Compound,328.pdbqt_log.txt:,-4.827,,Compound,372.pdbqt_log.log.txt:,-5.216
Compound,282.pdbqt_log.txt:,-4.803,,Compound,174.pdbqt_log.log.txt:,-5.083
Compound,415.pdbqt_log.txt:,-4.748,,Compound,299.pdbqt_log.log.txt:,-5.056
Compound,36.pdbqt_log.txt:,-4.456,,Compound,415.pdbqt_log.log.txt:,-4.852
Compound,85.pdbqt_log.txt:,-4.404,,Compound,328.pdbqt_log.log.txt:,-4.837
Compound,204.pdbqt_log.txt:,-4.338,,Compound,220.pdbqt_log.log.txt:,-4.803
Compound,288.pdbqt_log.txt:,-3.823,,Compound,282.pdbqt_log.log.txt:,-4.769
Compound,84.pdbqt_log.txt:,-3.401,,Compound,204.pdbqt_log.log.txt:,-4.418
Compound,387.pdbqt_log.txt:,-13.36,,Compound,85.pdbqt_log.log.txt:,-4.378
Compound,533.pdbqt_log.txt:,-12.84,,Compound,36.pdbqt_log.log.txt:,-4.357
Compound,547.pdbqt_log.txt:,-10.77,,Compound,288.pdbqt_log.log.txt:,-3.958
Compound,109.pdbqt_log.txt:,-10.71,,Compound,84.pdbqt_log.log.txt:,-3.43
Compound,407.pdbqt_log.txt:,-10.71,,Compound,387.pdbqt_log.log.txt:,-13.81
Compound,394.pdbqt_log.txt:,-10.61,,Compound,533.pdbqt_log.log.txt:,-13.47
Compound,414.pdbqt_log.txt:,-10.48,,Compound,548.pdbqt_log.log.txt:,-11.51
Compound,406.pdbqt_log.txt:,-10.3,,Compound,139.pdbqt_log.log.txt:,-10.9
Compound,208.pdbqt_log.txt:,-10.28,,Compound,542.pdbqt_log.log.txt:,-10.18
Compound,305.pdbqt_log.txt:,-10.23,,Compound,547.pdbqt_log.log.txt:,-10.16
Compound,542.pdbqt_log.txt:,-10.11,,Compound,305.pdbqt_log.log.txt:,-10.11
Paulownin.pdbqt_log.txt:,,-10.1,,Compound,6.pdbqt_log.log.txt:,-10.1
